Date,Open,High,Low,Close
1989-09-11,70.52,70.52,70.52,70.52
1989-09-11,69.99,69.99,69.99,69.99
1989-09-11,69.68,69.68,69.68,69.68
1989-09-11,69.37,69.37,69.37,69.37
1989-09-11,70.39,70.39,70.39,70.39
1989-09-11,70.02,70.02,70.02,70.02
1989-09-11,70.05,70.05,70.05,70.05
1989-09-11,69.88,69.88,69.88,69.88
1989-09-11,70.11,70.11,70.11,70.11
1989-09-11,70.15,70.15,70.15,70.15
1989-09-11,70.38,70.38,70.38,70.38
1989-09-11,70.95,70.95,70.95,70.95
1989-09-11,70.97,70.97,70.97,70.97
1989-09-11,70.73,70.73,70.73,70.73
1989-09-11,70.02,70.02,70.02,70.02
1989-09-11,69.55,69.55,69.55,69.55
1989-09-11,68.96,68.96,68.96,68.96
1989-09-11,67.95,67.95,67.95,67.95
1989-09-11,67.66,67.66,67.66,67.66
1989-09-11,67.93,67.93,67.93,67.93
1989-09-11,67.72,67.72,67.72,67.72
1989-09-11,66.77,66.77,66.77,66.77
1989-09-11,67.07,67.07,67.07,67.07
1989-09-11,67.5,67.5,67.5,67.5
1989-09-11,68.14,68.14,68.14,68.14
1989-09-11,68.17,68.17,68.17,68.17
1989-09-11,68.66,68.66,68.66,68.66
1989-09-11,69.0,69.0,69.0,69.0
1989-09-11,69.08,69.08,69.08,69.08
1989-09-11,69.14,69.14,69.14,69.14
1989-09-11,69.38,69.38,69.38,69.38
1989-09-11,71.24,71.24,71.24,71.24
1989-09-11,71.9,71.9,71.9,71.9
1989-09-11,71.85,71.85,71.85,71.85
1989-09-11,71.75,71.75,71.75,71.75
1989-09-11,71.83,71.83,71.83,71.83
1989-09-11,72.06,72.06,72.06,72.06
1989-09-11,73.26,73.26,73.26,73.26
1989-09-11,73.33,73.33,73.33,73.33
1989-09-11,73.65,73.65,73.65,73.65
1989-09-11,73.58,73.58,73.58,73.58
1989-09-11,72.85,72.85,72.85,72.85
1989-09-11,74.2,74.2,74.2,74.2
1989-09-11,74.28,74.28,74.28,74.28
1989-09-11,74.26,74.26,74.26,74.26
1989-09-11,74.9,74.9,74.9,74.9
1989-09-11,75.96,75.96,75.96,75.96
1989-09-11,75.77,75.77,75.77,75.77
1989-09-11,75.58,75.58,75.58,75.58
1989-09-11,75.18,75.18,75.18,75.18
1989-09-11,74.03,74.03,74.03,74.03
1989-09-11,74.71,74.71,74.71,74.71
1989-09-11,75.9,75.9,75.9,75.9
1989-09-11,75.81,75.81,75.81,75.81
1989-09-11,75.55,75.55,75.55,75.55
1989-09-11,75.54,75.54,75.54,75.54
1989-09-11,74.27,74.27,74.27,74.27
1989-09-11,74.63,74.63,74.63,74.63
1989-09-11,74.6,74.6,74.6,74.6
1989-09-11,74.69,74.69,74.69,74.69
1989-09-11,73.66,73.66,73.66,73.66
1989-09-11,72.71,72.71,72.71,72.71
1989-09-11,72.24,72.24,72.24,72.24
1989-09-11,72.88,72.88,72.88,72.88
1989-09-11,73.59,73.59,73.59,73.59
1989-09-11,73.78,73.78,73.78,73.78
1989-09-11,73.98,73.98,73.98,73.98
1989-09-11,74.17,74.17,74.17,74.17
1989-09-11,73.04,73.04,73.04,73.04
1989-09-11,73.5,73.5,73.5,73.5
1989-09-11,74.58,74.58,74.58,74.58
1989-09-11,74.09,74.09,74.09,74.09
1989-09-11,74.96,74.96,74.96,74.96
1989-09-11,75.63,75.63,75.63,75.63
1989-09-11,75.99,75.99,75.99,75.99
1989-09-11,76.52,76.52,76.52,76.52
1989-09-11,75.9,75.9,75.9,75.9
1989-09-11,74.59,74.59,74.59,74.59
1989-09-11,74.56,74.56,74.56,74.56
1989-09-11,73.49,73.49,73.49,73.49
1989-09-11,71.68,71.68,71.68,71.68
1989-09-11,71.11,71.11,71.11,71.11
1989-09-11,71.19,71.19,71.19,71.19
1989-09-11,71.01,71.01,71.01,71.01
1989-09-11,70.08,70.08,70.08,70.08
1989-09-11,70.08,70.08,70.08,70.08
1989-09-11,69.58,69.58,69.58,69.58
1989-09-11,69.22,69.22,69.22,69.22
1989-09-11,67.76,67.76,67.76,67.76
1989-09-11,66.38,66.38,66.38,66.38
1989-09-11,63.6,63.6,63.6,63.6
1989-09-11,63.28,63.28,63.28,63.28
1989-09-11,64.6,64.6,64.6,64.6
1989-09-11,65.15,65.15,65.15,65.15
1989-09-11,63.78,63.78,63.78,63.78
1989-09-11,64.33,64.33,64.33,64.33
1989-09-11,64.62,64.62,64.62,64.62
1989-09-11,64.62,64.62,64.62,64.62
1989-09-11,62.64,62.64,62.64,62.64
1989-09-11,61.04,61.04,61.04,61.04
1989-09-11,61.09,61.09,61.09,61.09
1989-09-11,59.76,59.76,59.76,59.76
1989-09-11,58.87,58.87,58.87,58.87
1989-09-11,57.01,57.01,57.01,57.01
1989-09-11,58.48,58.48,58.48,58.48
1989-09-11,60.97,60.97,60.97,60.97
