,PandemicDate,DailyNewCases,DailyNewDeaths,StockTicker,OpenPrice,Highest,Lowest,Closing,TradingVolume,VolumnWeightedAVGPrice,Transactions
0,2020-03-11,307.0,8.0,PFE,30.48,32.0,30.0,30.02,60585686.0,30.6586,307447.0
1,2020-03-12,1174.0,4.0,PFE,31.27,32.88,30.23,32.71,58156515.0,31.4335,313654.0
2,2020-03-15,1046.0,17.0,PFE,29.94,32.285,29.65,30.18,48333517.0,30.9841,270185.0
3,2020-03-16,1336.0,21.0,PFE,31.64,32.65,30.59,32.16,52139745.0,31.6114,317412.0
4,2020-03-17,2442.0,25.0,PFE,30.77,32.61,30.31,32.36,42228311.0,31.6159,249462.0
5,2020-03-18,3738.0,52.0,PFE,32.22,32.25,30.01,30.42,57479960.0,30.7282,310403.0
6,2020-03-19,5346.0,67.0,PFE,30.28,30.67,28.91,29.01,53530953.0,29.6025,251047.0
7,2020-03-22,10145.0,148.0,PFE,28.76,29.58,27.88,28.49,51118611.0,28.5935,261062.0
8,2020-03-23,11438.0,176.0,PFE,29.51,30.05,28.9,29.7,42753138.0,29.4456,224379.0
9,2020-03-24,12894.0,260.0,PFE,29.5,30.72,29.0,29.75,43031230.0,29.8798,225485.0
10,2020-03-25,14569.0,308.0,PFE,29.89,31.99,29.88,31.75,41345312.0,31.2334,211389.0
11,2020-03-26,18906.0,371.0,PFE,30.8,31.74,30.66,30.9,36856336.0,30.9849,147472.0
12,2020-03-29,20783.0,537.0,PFE,31.05,32.845,31.05,32.67,28888242.0,32.1864,148337.0
13,2020-03-30,24126.0,836.0,PFE,32.4,33.0,32.235,32.64,28395666.0,32.6777,141733.0
14,2020-03-31,26222.0,1089.0,PFE,31.92,32.28,31.53,31.75,25906676.0,31.8425,131899.0
15,2020-04-01,27652.0,1291.0,PFE,31.9,33.0,31.75,32.87,26206293.0,32.456,152434.0
16,2020-04-02,29219.0,1209.0,PFE,32.63,33.89,32.63,33.64,31557843.0,33.4884,171816.0
17,2020-04-05,26552.0,1463.0,PFE,33.92,34.9,33.78,34.57,38917085.0,34.2942,167301.0
18,2020-04-06,31450.0,1550.0,PFE,35.0,35.17,33.59,33.61,23569077.0,34.2318,132353.0
19,2020-04-07,34267.0,2210.0,PFE,33.99,34.8,33.44,34.6,24472292.0,34.2174,120507.0
20,2020-04-08,33371.0,2263.0,PFE,35.03,35.7673,34.85,35.39,29683461.0,35.3965,151561.0
21,2020-04-12,26087.0,1834.0,PFE,35.96,35.98,34.72,35.14,17988590.0,35.1933,95467.0
22,2020-04-13,27318.0,1750.0,PFE,35.93,36.63,35.335,36.44,21358146.0,36.2116,116985.0
23,2020-04-14,29704.0,2547.0,PFE,36.06,36.23,35.58,35.97,20684714.0,35.9131,103296.0
24,2020-04-15,31999.0,2720.0,PFE,36.12,36.26,35.575,35.88,19936559.0,35.8562,102421.0
25,2020-04-16,30804.0,2244.0,PFE,36.5,37.0,36.11,36.91,24280217.0,36.5976,116525.0
26,2020-04-19,26099.0,1661.0,PFE,36.38,36.91,36.08,36.08,21818617.0,36.3902,98400.0
27,2020-04-20,28525.0,1979.0,PFE,35.78,35.93,35.37,35.62,23194261.0,35.6334,127856.0
28,2020-04-21,27552.0,2733.0,PFE,36.96,37.0,36.12,36.25,19652712.0,36.4041,107387.0
29,2020-04-22,31952.0,2451.0,PFE,36.28,37.4,36.28,36.69,19498353.0,36.8976,101912.0
30,2020-04-23,34194.0,2401.0,PFE,36.84,37.429,36.785,37.38,16753492.0,37.1609,84366.0
31,2020-04-26,27333.0,1239.0,PFE,37.59,38.54,37.57,38.33,22595459.0,38.1551,110259.0
32,2020-04-27,24192.0,1447.0,PFE,39.05,39.22,37.375,37.91,34395918.0,38.055,156744.0
33,2020-04-28,26947.0,2485.0,PFE,38.46,38.55,37.71,38.12,25607541.0,38.1104,121634.0
