,date,spx_close,hlth_close,cons_close,cond_close,enrs_close,finl_close,indu_close,inft_close,matr_close,rlst_close,tels_close,util_close,daily_new_cases,daily_new_deaths
0,2020-03-12,2480.64,985.4,537.0,766.6017,221.69,336.66,490.22,1319.1,271.97,200.75,144.33,275.2,1174.0,4.0
1,2020-03-13,2711.02,1053.92,582.16,813.2361,241.29,381.2,528.6,1476.91,290.78,218.08,157.61,290.48,749.0,7.0
2,2020-03-16,2386.13,948.61,541.45,714.9846,208.41,327.87,468.1,1271.4,257.52,181.99,141.15,256.95,1336.0,21.0
3,2020-03-17,2529.19,1007.95,586.9,743.7777,209.92,346.78,487.75,1357.53,274.66,194.62,146.78,290.64,2442.0,25.0
4,2020-03-18,2398.1,973.71,568.91,707.1269,179.94,316.1,452.86,1295.22,257.74,180.1,142.65,277.16,3738.0,52.0
5,2020-03-19,2409.39,955.54,552.37,731.1885,192.08,323.22,454.35,1309.57,263.45,177.68,145.02,262.0,5346.0,67.0
6,2020-03-20,2304.92,916.59,516.28,711.3417,193.93,312.65,431.44,1251.66,254.16,167.95,138.3,240.57,6432.0,75.0
7,2020-03-23,2237.4,870.99,500.95,713.8369,181.03,293.55,412.06,1239.39,241.67,158.62,137.76,227.75,11438.0,176.0
8,2020-03-24,2447.33,937.08,525.19,775.5117,210.56,330.99,464.6,1367.1,269.78,172.18,145.77,252.66,12894.0,260.0
9,2020-03-25,2475.56,948.94,524.29,784.0139,220.02,339.78,489.2,1363.26,275.71,179.92,143.46,259.84,14569.0,308.0
10,2020-03-26,2630.07,1015.18,554.03,817.7419,233.76,361.62,520.58,1449.82,289.32,193.97,152.14,281.63,18906.0,371.0
11,2020-03-27,2541.47,990.69,550.05,790.1757,217.56,349.66,498.02,1383.04,278.3,193.83,145.91,283.1,20164.0,532.0
12,2020-03-30,2626.65,1036.98,571.52,807.5221,219.81,356.7,505.54,1441.6,287.35,199.13,151.13,293.57,24126.0,836.0
13,2020-03-31,2584.59,1032.89,560.33,793.1123,223.4,346.02,499.12,1414.36,283.23,192.64,150.35,281.77,26222.0,1089.0
14,2020-04-01,2470.5,993.02,550.08,761.6567,213.04,325.37,476.24,1347.68,270.22,180.87,144.44,264.53,27652.0,1291.0
15,2020-04-02,2526.9,1020.68,566.0,764.3234,232.37,333.4,483.2,1378.36,274.27,183.29,147.07,272.85,29219.0,1209.0
16,2020-04-03,2488.65,1010.87,569.07,753.0883,229.26,325.95,475.7,1355.6,267.86,181.9,143.84,262.97,33717.0,1308.0
17,2020-04-06,2663.68,1065.43,591.38,811.306,241.07,350.26,509.1,1474.59,288.23,195.02,153.48,283.61,31450.0,1550.0
18,2020-04-07,2659.41,1055.49,584.27,821.3168,245.9,353.56,508.15,1458.93,295.2,195.25,154.51,280.17,34267.0,2210.0
19,2020-04-08,2749.98,1099.88,592.48,844.6804,262.46,369.12,526.68,1498.96,309.95,209.71,157.06,295.33,33371.0,2263.0
20,2020-04-09,2789.82,1106.01,597.14,856.7766,259.63,388.28,534.19,1499.2,323.19,220.5,158.14,309.35,33983.0,2153.0
21,2020-04-13,2761.63,1095.15,592.61,866.2224,258.57,374.38,518.92,1502.24,316.31,210.39,158.29,299.19,27318.0,1750.0
22,2020-04-14,2846.06,1131.35,617.69,902.478,257.37,375.62,528.73,1564.86,319.95,217.24,163.41,308.09,29704.0,2547.0
23,2020-04-15,2783.36,1125.42,608.04,888.3187,245.34,359.22,513.82,1530.65,305.53,208.96,161.7,297.74,31999.0,2720.0
24,2020-04-16,2799.55,1150.15,612.9,905.5516,235.59,352.99,509.49,1549.67,303.9,207.72,162.39,297.96,30804.0,2244.0
25,2020-04-17,2874.56,1173.93,622.12,924.0853,260.17,372.64,533.43,1571.0,316.31,214.41,164.69,307.83,33665.0,2652.0
26,2020-04-20,2823.16,1164.79,609.15,912.3676,251.6,365.35,519.05,1542.96,308.28,206.4,163.18,295.87,28525.0,1979.0
27,2020-04-21,2736.56,1128.23,595.34,888.0928,247.38,353.65,506.51,1479.68,300.64,203.08,157.99,291.12,27552.0,2733.0
28,2020-04-22,2799.31,1146.31,601.74,906.1428,256.24,357.5,512.31,1536.93,307.03,206.95,161.76,299.7,31952.0,2451.0
29,2020-04-23,2797.8,1151.83,595.61,909.0364,263.96,355.96,516.24,1526.34,308.69,204.49,162.91,294.42,34194.0,2401.0
30,2020-04-24,2836.74,1168.43,602.26,922.0284,264.51,360.99,520.2,1558.5,313.51,205.08,164.63,296.27,35198.0,1926.0
31,2020-04-27,2878.48,1183.79,604.23,933.0479,270.07,374.02,533.32,1572.69,321.78,211.23,165.55,299.5,24192.0,1447.0
32,2020-04-28,2863.39,1158.58,606.88,930.595,275.99,377.42,543.13,1550.58,328.08,211.28,162.42,300.56,26947.0,2485.0
33,2020-04-29,2939.51,1167.15,604.41,952.0735,296.28,388.77,553.65,1615.98,336.5,212.02,170.62,297.8,30291.0,2478.0
34,2020-04-30,2912.43,1162.03,597.56,955.8077,289.65,378.34,542.35,1608.6,326.55,210.61,170.66,290.71,31271.0,2319.0
35,2020-05-01,2830.71,1137.89,590.51,911.722,272.28,365.79,526.21,1561.7,319.47,203.79,167.99,283.6,35725.0,1948.0
36,2020-05-04,2842.74,1138.72,590.54,918.0117,282.38,362.44,519.21,1583.92,320.75,203.76,168.53,285.74,24949.0,1367.0
37,2020-05-05,2868.44,1163.21,591.32,921.205,283.12,362.19,521.43,1606.48,321.71,205.04,169.57,288.39,26449.0,2342.0
38,2020-05-06,2848.42,1151.78,584.82,924.0997,275.67,353.83,514.31,1617.93,315.85,201.26,168.89,278.26,25789.0,2562.0
39,2020-05-07,2881.19,1151.26,582.4,936.5143,282.49,361.68,520.17,1642.45,322.59,202.97,171.53,279.48,29770.0,2163.0
40,2020-05-08,2929.8,1157.47,595.63,952.0919,294.75,369.6,533.16,1665.4,330.32,206.76,174.23,285.1,29174.0,1668.0
41,2020-05-11,2930.32,1177.17,594.47,952.998,289.78,362.42,526.51,1676.99,325.31,204.25,174.47,283.74,18708.0,1106.0
42,2020-05-12,2870.12,1159.62,589.31,931.5691,282.93,352.74,511.55,1641.18,320.23,195.57,171.09,281.18,24559.0,1843.0
43,2020-05-13,2820,1146.87,583.95,920.3192,270.52,342.14,498.43,1613.48,313.24,192.42,168.32,278.65,23230.0,1842.0
44,2020-05-14,2852.5,1159.19,582.12,932.3815,273.07,351.18,503.27,1633.76,317.09,192.6,170.01,281.3,27117.0,1762.0
45,2020-05-15,2863.7,1167.63,586.53,942.303,272.31,348.6,501.72,1640.66,320.14,191.75,172.15,277.34,28006.0,1601.0
46,2020-05-18,2953.91,1178.58,596.29,972.4933,292.87,367.15,534.9,1682.71,334.75,201.21,175.85,288.82,23133.0,1094.0
47,2020-05-19,2922.94,1164.35,585.85,971.5694,284.4,357.89,528.03,1675.91,331.4,197.48,175.13,283.92,22501.0,1576.0
48,2020-05-20,2971.61,1165.78,592.22,985.3038,295.26,365.83,537.56,1711.36,336.79,199.16,179.85,285.33,23395.0,1411.0
49,2020-05-21,2948.51,1156.32,586.04,983.7445,290.88,364.54,538.45,1687.43,333.44,198.09,179.04,282.46,27865.0,1479.0
50,2020-05-22,2955.45,1158.51,587.98,982.3867,288.94,363.6,537.84,1694.51,332.86,202.46,179.85,285.67,25460.0,1356.0
51,2020-05-26,2991.77,1156.27,591.11,993.3035,297.34,381.92,560.67,1692.53,341.73,208.87,180.36,287.76,19442.0,825.0
52,2020-05-27,3036.13,1168.41,600.31,1006.069,300.79,398.5,579.41,1701.7,345.23,213.35,181.35,290.83,21346.0,1488.0
53,2020-05-28,3029.73,1183.11,604.8,995.55,292.04,392.28,573.74,1698.42,348.08,216.0,179.62,299.66,24250.0,1246.0
54,2020-05-29,3044.31,1198.14,605.78,1002.289,291.59,387.52,570.15,1718.49,348.38,214.27,180.89,302.05,26296.0,1218.0
55,2020-06-01,3055.73,1186.09,609.54,1011.441,296.5,392.01,571.28,1718.87,350.29,218.78,182.34,305.28,18518.0,723.0
56,2020-06-02,3080.82,1193.3,610.76,1017.854,304.37,395.23,578.63,1734.98,356.46,220.22,183.23,307.11,23668.0,1153.0
57,2020-06-03,3122.87,1190.92,612.01,1033.719,313.65,410.36,601.27,1749.28,364.59,225.51,183.62,311.09,21682.0,1115.0
58,2020-06-04,3112.35,1181.32,608.4,1028.049,313.17,418.46,607.57,1734.58,365.88,221.44,182.14,305.03,23575.0,1042.0
59,2020-06-05,3193.93,1200.89,617.24,1049.915,336.52,434.64,630.14,1781.2,375.02,229.41,185.2,309.17,25670.0,965.0
60,2020-06-08,3232.39,1208.56,623.16,1065.861,351.06,442.27,642.58,1789.21,375.38,234.35,187.28,317.33,18665.0,664.0
61,2020-06-09,3207.18,1195.49,617.5,1065.43,338.46,432.93,626.44,1797.81,370.97,231.73,187.61,310.6,19938.0,979.0
62,2020-06-10,3190.14,1193.84,616.58,1061.21,321.81,416.7,611.5,1828.24,366.84,227.3,187.13,308.93,22227.0,1018.0
63,2020-06-11,3002.1,1126.67,593.11,1009.092,291.39,382.62,568.41,1721.96,338.44,213.07,178.44,296.64,24165.0,884.0
64,2020-06-12,3041.31,1134.51,592.04,1016.5,299.28,394.14,579.51,1745.11,345.02,219.81,180.02,296.0,27284.0,762.0
65,2020-06-15,3066.59,1136.59,598.33,1025.395,299.54,399.56,584.88,1760.27,348.24,222.04,181.82,297.85,20378.0,490.0
66,2020-06-16,3124.74,1164.27,607.87,1045.876,307.99,405.29,596.22,1798.25,355.57,225.93,184.03,299.22,27614.0,813.0
67,2020-06-17,3113.49,1163.36,606.67,1046.663,297.89,399.73,592.26,1798.83,352.88,223.37,184.17,298.3,28082.0,848.0
68,2020-06-18,3115.34,1159.85,609.93,1044.497,301.45,399.37,590.29,1807.55,353.04,220.38,184.15,298.17,30025.0,732.0
69,2020-06-19,3097.74,1169.95,606.01,1039.827,296.4,396.68,582.81,1793.72,351.93,218.11,183.56,288.92,35063.0,723.0
70,2020-06-22,3117.86,1165.74,604.38,1051.292,298.27,394.78,583.95,1828.33,353.33,217.56,184.51,292.8,32220.0,418.0
71,2020-06-23,3131.29,1170.83,603.54,1062.227,298.5,396.43,583.95,1841.13,354.07,216.79,185.65,289.7,38161.0,869.0
72,2020-06-24,3050.33,1139.72,593.62,1041.213,281.97,382.51,563.44,1798.92,343.64,211.03,181.1,286.98,40770.0,854.0
73,2020-06-25,3083.76,1151.43,598.04,1044.401,287.39,392.86,569.72,1822.34,348.1,213.32,182.14,283.48,42303.0,668.0
74,2020-06-26,3009.05,1137.38,585.69,1020.026,277.3,375.84,559.4,1785.68,343.27,209.45,173.97,280.56,48646.0,688.0
75,2020-06-29,3053.24,1147.05,596.52,1033.561,281.26,379.56,577.25,1805.46,349.84,213.0,177.53,285.79,42962.0,420.0
76,2020-06-30,3100.29,1167.81,601.33,1051.417,287.46,385.49,581.0,1840.1,354.83,216.39,179.88,286.96,51208.0,696.0
77,2020-07-01,3115.86,1176.09,601.63,1069.877,280.3,381.5,578.19,1842.03,355.52,221.96,183.9,293.53,54627.0,689.0
78,2020-07-02,3130.01,1184.43,604.43,1074.074,283.46,381.75,582.8,1851.33,362.11,221.21,183.78,294.2,60598.0,664.0
79,2020-07-06,3179.72,1196.34,607.63,1108.598,284.51,389.19,591.44,1884.7,367.41,221.59,187.73,290.44,52258.0,481.0
80,2020-07-07,3145.32,1186.07,613.74,1089.491,275.46,381.12,579.97,1864.78,367.35,218.04,187.03,289.43,60201.0,1034.0
